iter	Passed	Remaining
789	939	249
790	940	248
791	941	247
792	942	245
793	943	244
794	943	243
795	944	242
796	945	240
797	946	239
798	947	238
799	948	237
800	949	235
801	950	234
802	951	233
803	952	232
804	952	230
805	953	229
806	954	228
807	955	227
808	956	225
809	957	224
810	958	223
811	959	222
812	960	220
813	960	219
814	961	218
815	962	217
816	963	215
817	964	214
818	965	213
819	966	212
820	966	210
821	967	209
822	968	208
823	969	207
824	970	205
825	971	204
826	972	203
827	973	202
828	974	200
829	975	199
830	976	198
831	977	197
832	977	196
833	978	194
834	979	193
835	980	192
836	981	191
837	982	189
838	983	188
839	984	187
840	985	186
841	985	185
842	986	183
843	987	182
844	988	181
845	989	180
846	990	178
847	991	177
848	991	176
849	992	175
850	993	173
851	994	172
852	995	171
853	996	170
854	997	169
855	998	167
856	999	166
857	1000	165
858	1000	164
859	1001	163
860	1002	161
861	1003	160
862	1004	159
863	1005	158
864	1006	157
865	1007	155
866	1008	154
867	1009	153
868	1010	152
869	1011	151
870	1011	149
871	1012	148
872	1013	147
873	1014	146
874	1015	145
875	1016	143
876	1017	142
877	1018	141
878	1019	140
879	1020	139
880	1020	137
881	1021	136
882	1022	135
883	1023	134
884	1024	133
885	1025	131
886	1026	130
887	1027	129
888	1027	128
889	1028	127
890	1029	125
891	1030	124
892	1031	123
893	1032	122
894	1033	121
895	1034	120
896	1035	118
897	1036	117
898	1036	116
899	1037	115
900	1038	114
901	1039	112
902	1040	111
903	1041	110
904	1042	109
905	1043	108
906	1044	107
907	1044	105
908	1045	104
909	1046	103
910	1047	102
911	1048	101
912	1049	99
913	1050	98
914	1050	97
915	1051	96
916	1052	95
917	1053	94
918	1054	92
919	1055	91
920	1056	90
921	1057	89
922	1058	88
923	1059	87
924	1059	85
925	1060	84
926	1061	83
927	1062	82
928	1063	81
929	1064	80
930	1065	78
931	1066	77
932	1067	76
933	1068	75
934	1068	74
935	1069	73
936	1070	71
937	1071	70
938	1072	69
939	1073	68
940	1074	67
941	1075	66
942	1075	65
943	1076	63
944	1077	62
945	1078	61
946	1079	60
947	1080	59
948	1081	58
949	1082	56
950	1083	55
951	1084	54
952	1085	53
953	1086	52
954	1087	51
955	1087	50
956	1088	48
957	1089	47
958	1090	46
959	1091	45
960	1092	44
961	1093	43
962	1094	42
963	1095	40
964	1096	39
965	1097	38
966	1098	37
967	1099	36
968	1100	35
969	1101	34
970	1101	32
971	1102	31
972	1103	30
973	1104	29
974	1105	28
975	1106	27
976	1107	26
977	1108	24
978	1109	23
979	1110	22
980	1111	21
981	1113	20
982	1114	19
983	1115	18
984	1116	16
985	1116	15
986	1117	14
987	1118	13
988	1119	12
989	1120	11
990	1121	10
991	1122	9
992	1123	7
993	1124	6
994	1125	5
995	1126	4
996	1127	3
997	1129	2
998	1130	1
999	1131	0
